STATUS | wrapper  | 2015/06/05 09:57:48 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/06/05 10:52:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:52:55 | 内存情况 已用内存/可用内存/最大内存 17.24 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 10:57:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 10:57:55 | 内存情况 已用内存/可用内存/最大内存 17.33 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:02:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:02:55 | 内存情况 已用内存/可用内存/最大内存 17.37 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:07:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:07:55 | 内存情况 已用内存/可用内存/最大内存 17.41 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:12:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:12:55 | 内存情况 已用内存/可用内存/最大内存 17.45 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:17:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:17:55 | 内存情况 已用内存/可用内存/最大内存 17.49 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:22:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:22:55 | 内存情况 已用内存/可用内存/最大内存 17.54 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:27:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:27:55 | 内存情况 已用内存/可用内存/最大内存 17.58 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:32:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:32:55 | 内存情况 已用内存/可用内存/最大内存 17.62 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:37:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:37:55 | 内存情况 已用内存/可用内存/最大内存 17.66 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:42:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:42:55 | 内存情况 已用内存/可用内存/最大内存 17.71 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:47:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:47:55 | 内存情况 已用内存/可用内存/最大内存 17.75 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:52:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:52:55 | 内存情况 已用内存/可用内存/最大内存 17.79 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 11:57:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 11:57:55 | 内存情况 已用内存/可用内存/最大内存 17.83 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:02:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:02:55 | 内存情况 已用内存/可用内存/最大内存 17.87 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:07:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:07:55 | 内存情况 已用内存/可用内存/最大内存 17.92 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:12:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:12:55 | 内存情况 已用内存/可用内存/最大内存 17.96 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:17:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:17:55 | 内存情况 已用内存/可用内存/最大内存 18.40 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:22:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:22:55 | 内存情况 已用内存/可用内存/最大内存 18.45 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:27:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:27:55 | 内存情况 已用内存/可用内存/最大内存 18.49 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:32:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:32:55 | 内存情况 已用内存/可用内存/最大内存 18.53 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:37:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:37:55 | 内存情况 已用内存/可用内存/最大内存 18.57 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:42:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:42:55 | 内存情况 已用内存/可用内存/最大内存 18.61 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:47:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:47:55 | 内存情况 已用内存/可用内存/最大内存 18.65 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:52:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:52:55 | 内存情况 已用内存/可用内存/最大内存 18.70 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 12:57:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 12:57:55 | 内存情况 已用内存/可用内存/最大内存 18.74 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:02:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:02:55 | 内存情况 已用内存/可用内存/最大内存 18.78 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:07:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:07:55 | 内存情况 已用内存/可用内存/最大内存 18.82 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:12:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:12:55 | 内存情况 已用内存/可用内存/最大内存 18.86 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:17:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:17:55 | 内存情况 已用内存/可用内存/最大内存 18.91 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:22:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:22:55 | 内存情况 已用内存/可用内存/最大内存 18.95 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:27:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:27:55 | 内存情况 已用内存/可用内存/最大内存 18.99 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:32:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:32:55 | 内存情况 已用内存/可用内存/最大内存 19.03 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:37:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:37:55 | 内存情况 已用内存/可用内存/最大内存 19.37 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:42:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:42:55 | 内存情况 已用内存/可用内存/最大内存 19.41 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:47:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:47:55 | 内存情况 已用内存/可用内存/最大内存 19.45 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 13:52:55 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:52:55 | 内存情况 已用内存/可用内存/最大内存 19.50 MB/127.06 MB/508.06 MB
STATUS | wrapper  | 2015/06/05 13:57:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/06/05 13:57:58 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2015/06/05 13:57:58 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/06/05 13:57:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/06/05 13:57:58 | 
STATUS | wrapper  | 2015/06/05 13:57:59 | Launching a JVM...
INFO   | jvm 1    | 2015/06/05 13:57:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2015/06/05 13:58:02 | 程序打开正常
INFO   | jvm 1    | 2015/06/05 13:58:02 | 进入启动倒计时 1秒
INFO   | jvm 1    | 2015/06/05 13:58:03 | 数据主目录检查正常
INFO   | jvm 1    | 2015/06/05 13:58:03 | 数据库连接检查正常
INFO   | jvm 1    | 2015/06/05 13:58:03 | 2015-6-5 13:58:03 com.mchange.v2.log.MLog <clinit>
INFO   | jvm 1    | 2015/06/05 13:58:03 | 信息: MLog clients using java 1.4+ standard logging.
INFO   | jvm 1    | 2015/06/05 13:58:04 | 2015-6-5 13:58:03 com.mchange.v2.c3p0.C3P0Registry banner
INFO   | jvm 1    | 2015/06/05 13:58:04 | 信息: Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
INFO   | jvm 1    | 2015/06/05 13:58:04 | 服务启动正常
INFO   | jvm 1    | 2015/06/05 13:58:04 | 2015-6-5 13:58:04 com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource getPoolManager
INFO   | jvm 1    | 2015/06/05 13:58:04 | 信息: Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 2yrpy7991hws9zo6bafjx|1c695a6, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> oracle.jdbc.driver.OracleDriver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 2yrpy7991hws9zo6bafjx|1c695a6, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:oracle:thin:@10.176.102.32:1521:imrs, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 5, maxStatements -> 180, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 10, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
INFO   | jvm 1    | 2015/06/05 13:58:06 | 前端数据 已处理/错误/处理速度 2/0/0每分钟
INFO   | jvm 1    | 2015/06/05 13:58:06 | 内存情况 已用内存/可用内存/最大内存 21.23 MB/127.06 MB/508.06 MB
STATUS | wrapper  | 2015/06/05 14:00:53 | processDataForAll service installed.
INFO   | jvm 1    | 2015/06/05 14:03:06 | 前端数据 已处理/错误/处理速度 7/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:03:06 | 内存情况 已用内存/可用内存/最大内存 21.27 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:08:06 | 前端数据 已处理/错误/处理速度 12/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:08:06 | 内存情况 已用内存/可用内存/最大内存 20.12 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:13:06 | 前端数据 已处理/错误/处理速度 18/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:13:06 | 内存情况 已用内存/可用内存/最大内存 20.84 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:18:06 | 前端数据 已处理/错误/处理速度 23/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:18:06 | 内存情况 已用内存/可用内存/最大内存 20.06 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:23:06 | 前端数据 已处理/错误/处理速度 29/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:23:06 | 内存情况 已用内存/可用内存/最大内存 19.84 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:28:06 | 前端数据 已处理/错误/处理速度 35/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:28:06 | 内存情况 已用内存/可用内存/最大内存 19.90 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:33:06 | 前端数据 已处理/错误/处理速度 40/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:33:06 | 内存情况 已用内存/可用内存/最大内存 19.34 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:38:06 | 前端数据 已处理/错误/处理速度 45/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:38:06 | 内存情况 已用内存/可用内存/最大内存 18.32 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:43:06 | 前端数据 已处理/错误/处理速度 50/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:43:06 | 内存情况 已用内存/可用内存/最大内存 17.98 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:48:06 | 前端数据 已处理/错误/处理速度 56/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:48:06 | 内存情况 已用内存/可用内存/最大内存 17.82 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:53:06 | 前端数据 已处理/错误/处理速度 61/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:53:06 | 内存情况 已用内存/可用内存/最大内存 24.74 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 14:58:06 | 前端数据 已处理/错误/处理速度 66/0/1每分钟
INFO   | jvm 1    | 2015/06/05 14:58:06 | 内存情况 已用内存/可用内存/最大内存 24.03 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:03:06 | 前端数据 已处理/错误/处理速度 71/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:03:06 | 内存情况 已用内存/可用内存/最大内存 23.21 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:08:06 | 前端数据 已处理/错误/处理速度 76/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:08:06 | 内存情况 已用内存/可用内存/最大内存 22.33 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:13:06 | 前端数据 已处理/错误/处理速度 82/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:13:06 | 内存情况 已用内存/可用内存/最大内存 22.29 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:18:06 | 前端数据 已处理/错误/处理速度 87/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:18:06 | 内存情况 已用内存/可用内存/最大内存 21.42 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:23:06 | 前端数据 已处理/错误/处理速度 92/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:23:06 | 内存情况 已用内存/可用内存/最大内存 20.58 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:28:06 | 前端数据 已处理/错误/处理速度 97/0/1每分钟
INFO   | jvm 1    | 2015/06/05 15:28:06 | 内存情况 已用内存/可用内存/最大内存 19.70 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:33:06 | 前端数据 已处理/错误/处理速度 309/0/42每分钟
INFO   | jvm 1    | 2015/06/05 15:33:06 | 内存情况 已用内存/可用内存/最大内存 20.02 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:38:06 | 前端数据 已处理/错误/处理速度 683/0/74每分钟
INFO   | jvm 1    | 2015/06/05 15:38:06 | 内存情况 已用内存/可用内存/最大内存 19.13 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:43:06 | 前端数据 已处理/错误/处理速度 1029/0/69每分钟
INFO   | jvm 1    | 2015/06/05 15:43:06 | 内存情况 已用内存/可用内存/最大内存 20.17 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 15:48:06 | 前端数据 已处理/错误/处理速度 1313/0/56每分钟
INFO   | jvm 1    | 2015/06/05 15:48:06 | 内存情况 已用内存/可用内存/最大内存 17.95 MB/127.06 MB/508.06 MB
STATUS | wrapper  | 2015/06/05 16:02:10 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/06/05 16:02:10 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2015/06/05 16:02:10 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/06/05 16:02:10 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/06/05 16:02:10 | 
STATUS | wrapper  | 2015/06/05 16:02:12 | Launching a JVM...
INFO   | jvm 1    | 2015/06/05 16:02:15 | WrapperManager: Initializing...
INFO   | jvm 1    | 2015/06/05 16:02:23 | 程序打开正常
INFO   | jvm 1    | 2015/06/05 16:02:23 | 进入启动倒计时 1秒
INFO   | jvm 1    | 2015/06/05 16:02:25 | 数据主目录检查正常
INFO   | jvm 1    | 2015/06/05 16:02:26 | 数据库连接检查正常
INFO   | jvm 1    | 2015/06/05 16:02:26 | 2015-6-5 16:02:26 com.mchange.v2.log.MLog <clinit>
INFO   | jvm 1    | 2015/06/05 16:02:26 | 信息: MLog clients using java 1.4+ standard logging.
INFO   | jvm 1    | 2015/06/05 16:02:26 | 2015-6-5 16:02:26 com.mchange.v2.c3p0.C3P0Registry banner
INFO   | jvm 1    | 2015/06/05 16:02:26 | 信息: Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
INFO   | jvm 1    | 2015/06/05 16:02:27 | 服务启动正常
INFO   | jvm 1    | 2015/06/05 16:02:29 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 16:02:29 | 内存情况 已用内存/可用内存/最大内存 21.70 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 16:03:34 | 2015-6-5 16:03:34 com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource getPoolManager
INFO   | jvm 1    | 2015/06/05 16:03:34 | 信息: Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 2yrpy7991i1889s6tmsx4|177b3cd, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> oracle.jdbc.driver.OracleDriver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 2yrpy7991i1889s6tmsx4|177b3cd, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:oracle:thin:@10.176.102.32:1521:imrs, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 5, maxStatements -> 180, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 10, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
STATUS | wrapper  | 2015/06/05 16:15:43 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/06/05 16:15:43 | Java Service Wrapper Community Edition 32-bit 3.5.17
STATUS | wrapper  | 2015/06/05 16:15:43 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2015/06/05 16:15:43 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2015/06/05 16:15:43 | 
STATUS | wrapper  | 2015/06/05 16:15:44 | Launching a JVM...
INFO   | jvm 1    | 2015/06/05 16:15:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2015/06/05 16:15:57 | 程序打开正常
INFO   | jvm 1    | 2015/06/05 16:15:57 | 进入启动倒计时 1秒
INFO   | jvm 1    | 2015/06/05 16:15:58 | 数据主目录检查正常
INFO   | jvm 1    | 2015/06/05 16:15:59 | 数据库连接检查正常
INFO   | jvm 1    | 2015/06/05 16:15:59 | 2015-6-5 16:15:59 com.mchange.v2.log.MLog <clinit>
INFO   | jvm 1    | 2015/06/05 16:15:59 | 信息: MLog clients using java 1.4+ standard logging.
INFO   | jvm 1    | 2015/06/05 16:15:59 | 2015-6-5 16:15:59 com.mchange.v2.c3p0.C3P0Registry banner
INFO   | jvm 1    | 2015/06/05 16:15:59 | 信息: Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
INFO   | jvm 1    | 2015/06/05 16:16:00 | 服务启动正常
INFO   | jvm 1    | 2015/06/05 16:16:02 | 前端数据 已处理/错误/处理速度 0/0/0每分钟
INFO   | jvm 1    | 2015/06/05 16:16:02 | 内存情况 已用内存/可用内存/最大内存 22.37 MB/127.06 MB/508.06 MB
INFO   | jvm 1    | 2015/06/05 16:17:04 | 2015-6-5 16:17:04 com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource getPoolManager
